,SimilarCustomers,Scores
C0001,"['C0085', 'C0042', 'C0089']","[0.9999990504724361, 0.9998215747742084, 0.9997850140987701]"
C0002,"['C0157', 'C0166', 'C0029']","[0.9999942410168485, 0.999875010843091, 0.9998254255985104]"
C0003,"['C0111', 'C0160', 'C0147']","[0.9940081095432594, 0.9904545038572361, 0.9876382719212551]"
C0004,"['C0162', 'C0165', 'C0090']","[0.9999999965087093, 0.9999594720114721, 0.9986409558134951]"
C0005,"['C0080', 'C0167', 'C0177']","[0.9999822355480511, 0.9999750393711484, 0.9999281138035958]"
C0006,"['C0079', 'C0117', 'C0196']","[0.9999656845154901, 0.9956703718685657, 0.9903168212584458]"
C0007,"['C0146', 'C0125', 'C0061']","[0.9999895943808703, 0.9998372825489151, 0.9997162141129128]"
C0008,"['C0109', 'C0136', 'C0124']","[0.9998419065580372, 0.9995449075266115, 0.9988501083510457]"
C0009,"['C0015', 'C0131', 'C0193']","[0.9999998280836607, 0.9999969915843525, 0.9999942852290301]"
C0010,"['C0176', 'C0027', 'C0030']","[0.9977495907269391, 0.9933907927482107, 0.9784025791083272]"
C0011,"['C0139', 'C0100', 'C0023']","[0.9995752579210655, 0.9992186065437542, 0.9981601131570049]"
C0012,"['C0101', 'C0156', 'C0093']","[0.9999587354991512, 0.9998710212245943, 0.9998427725809736]"
C0013,"['C0067', 'C0138', 'C0141']","[0.9998962934726959, 0.9998109989494287, 0.9997829345234197]"
C0014,"['C0192', 'C0159', 'C0186']","[0.999999195523505, 0.9999990484005253, 0.999979545291725]"
C0015,"['C0009', 'C0131', 'C0120']","[0.9999998280836607, 0.9999982579939216, 0.9999928702070295]"
C0016,"['C0154', 'C0040', 'C0026']","[0.9993683855686599, 0.9960728766406054, 0.993943060754397]"
C0017,"['C0075', 'C0179', 'C0039']","[0.9999997918900844, 0.999792419915155, 0.9997215280460565]"
C0018,"['C0045', 'C0041', 'C0068']","[0.9999974739628396, 0.9997600993045762, 0.999404067327854]"
C0019,"['C0142', 'C0174', 'C0055']","[0.9998871390943337, 0.9998674238866583, 0.9993745857345483]"
C0020,"['C0058', 'C0193', 'C0198']","[0.9999997942980384, 0.999998649644113, 0.9999983115151304]"
